group,symbol,value,change
傳產-水泥,1101,287956,0.88
傳產-水泥,1102,409444,0.69
傳產-水泥,1103,3419,0
傳產-水泥,1104,9785,-0.5
傳產-水泥,1108,785,0.34
傳產-水泥,1109,1427,0.32
傳產-水泥,1110,857,1.22
傳產-食品,1201,1750,0
傳產-食品,1203,338,0.89
傳產-食品,1210,80769,-0.39
傳產-食品,1213,23,0.94
傳產-食品,1215,547535,0.74
傳產-食品,1216,2150984,2.68
傳產-食品,1217,1974,0.48
傳產-食品,1218,4557,-0.28
傳產-食品,1219,1168,0
傳產-食品,1220,1140,0.4
傳產-食品,1225,1427,-0.17
傳產-食品,1227,7947,-0.16
傳產-食品,1229,30153,-0.42
傳產-食品,1231,11266,0.61
傳產-食品,1232,9306,0.35
傳產-食品,1233,115,0.94
傳產-食品,1234,3005,-0.26
傳產-食品,1235,100,0.11
傳產-食品,1236,3151,0.38
傳產-食品,1240,750,0
傳產-食品,1256,2562,1.08
傳產-觀光,1259,189,0.65
傳產-食品,1264,2376,0
傳產-觀光,1268,2892,0
傳產-食品,1294,3550,1.03
傳產-生技,1295,7518,-1.58
傳產-塑膠,1301,212450,0
傳產-塑膠,1303,2204977,-1.03
傳產-塑膠,1304,22507,-1.33
傳產-塑膠,1305,12646,-1.79
傳產-塑膠,1307,7942,-0.15
傳產-塑膠,1308,12098,-1.49
傳產-塑膠,1309,7848,-1.32
傳產-塑膠,1310,5804,-0.47
傳產-塑膠,1312,73620,-4.35
傳產-塑膠,1313,23287,0
傳產-塑膠,1314,70272,-0.63
傳產-塑膠,1315,1110,-0.31
傳產-營建,1316,60562,-2.47
傳產-汽車零組件,1319,146499,0.73
傳產-塑膠,1321,3043,0
傳產-塑膠,1323,566,0.26
傳產-塑膠,1324,499,1.45
傳產-塑膠,1325,5585,0.17
傳產-塑膠,1326,158001,-0.47
電子上游-連接元件,1336,702,-0.32
傳產-塑膠,1337,548,-0.61
傳產-汽車零組件,1338,1062,0.24
傳產-汽車零組件,1339,2904,0.11
傳產-塑膠,1340,5934,2.66
傳產-塑膠,1341,434,0.17
傳產-塑膠,1342,5474,0.46
傳產-紡織纖維,1402,83359,-0.36
傳產-紡織纖維,1409,45200,-0.33
傳產-紡織纖維,1410,447,-0.29
傳產-紡織纖維,1413,107,0.2
傳產-紡織纖維,1414,5485,1.75
軟體-系統整合,1416,2219,0.42
傳產-紡織纖維,1417,647,0
傳產-紡織纖維,1418,198,0
傳產-紡織纖維,1419,14212,-0.15
傳產-紡織纖維,1423,677,0.79
傳產-運動休閒,1432,12894,-1.1
傳產-紡織纖維,1434,20757,-1.26
傳產-其他,1435,12,0
傳產-營建,1436,18342,0.92
傳產-其他,1437,3339,0
傳產-營建,1438,1645,-1.88
傳產-營建,1439,684,-0.66
傳產-紡織纖維,1440,17335,-1.49
傳產-紡織纖維,1441,221,-0.47
傳產-營建,1442,223109,-0.65
傳產-航運,1443,81,0
傳產-紡織纖維,1444,2287,-0.16
傳產-紡織纖維,1445,191,-0.75
傳產-紡織纖維,1446,1891,0.83
傳產-紡織纖維,1447,2517,-0.18
傳產-紡織纖維,1449,13084,2.73
傳產-紡織纖維,1451,593,-0.29
傳產-紡織纖維,1452,361,0.42
傳產-營建,1453,397,-0.39
傳產-紡織纖維,1454,611,-0.76
傳產-紡織纖維,1455,5986,0
傳產-營建,1456,26,1.17
傳產-紡織纖維,1457,905,0
傳產-紡織纖維,1459,869,0
傳產-紡織纖維,1460,6580,0.79
傳產-紡織纖維,1463,1741,-1.27
傳產-紡織纖維,1464,2488,0
傳產-紡織纖維,1465,1265,-0.4
傳產-紡織纖維,1466,3282,0
傳產-紡織纖維,1467,677,0.28
傳產-紡織纖維,1468,376,0
傳產-紡織纖維,1470,186,0.87
電子中游-電源供應器,1471,1662,0.57
傳產-營建,1472,7018,-0.23
傳產-紡織纖維,1473,399,0
傳產-紡織纖維,1474,466,-0.45
傳產-紡織纖維,1475,1444,-0.33
傳產-紡織纖維,1476,187320,-0.52
傳產-紡織纖維,1477,418510,-0.84
傳產-電機,1503,150612,1.17
傳產-電機,1504,2258243,0.23
傳產-汽車零組件,1506,913,-0.43
傳產-汽車零組件,1512,407,1.47
傳產-電機,1513,164550,0.67
傳產-電機,1514,147460,0.98
傳產-運動休閒,1515,4754,0.91
傳產-其他,1516,4223,0
傳產-運動休閒,1517,1175,0.45
傳產-電機,1519,1737261,0.26
傳產-汽車零組件,1521,267,-0.62
傳產-汽車零組件,1522,52385,0.32
傳產-汽車零組件,1524,16528,-0.53
傳產-汽車零組件,1525,768,-0.16
傳產-電機,1526,817,0
傳產-電機,1527,5528,-0.61
傳產-電機,1528,338953,9.86
傳產-電機,1529,6317,0.53
傳產-電機,1530,866,0.18
傳產-電機,1531,966,0.42
傳產-鋼鐵,1532,6954,-0.37
傳產-汽車零組件,1533,2333,-1.23
傳產-電機,1535,953,0.57
傳產-汽車零組件,1536,65822,-0.87
傳產-汽車零組件,1537,7089,-0.8
傳產-電機,1538,499,2.53
傳產-電機,1539,587,-0.29
傳產-電機,1540,5446,0.22
傳產-電機,1541,24,0.64
傳產-電機,1558,4351,-0.97
電子上游-IC-代工,1560,676031,1.08
傳產-汽車零組件,1563,63927,2.69
傳產-生技,1565,34933,-0.85
傳產-汽車零組件,1568,2274,1.81
電子中游-機殼,1569,13648,0.18
傳產-電機,1570,3553,0
傳產-電機,1580,2547,-0.37
電子上游-連接元件,1582,16573,-0.46
傳產-電機,1583,108,0
傳產-鋼鐵,1584,9508,1.34
傳產-汽車零組件,1586,6624,-0.98
傳產-汽車,1587,125193,0.95
傳產-電機,1589,12552,0.59
傳產-電機,1590,84708,-1.05
傳產-電機,1591,2283,0.1
傳產-運動休閒,1593,485,-0.17
電子上游-PCB-材料設備,1595,3955,1.62
傳產-電機,1597,5659,-0.55
傳產-運動休閒,1598,1719,-0.48
傳產-汽車零組件,1599,1838,0.96
傳產-電線電纜,1603,24238,1.89
電子下游-消費電子,1604,2237,-0.2
傳產-電線電纜,1605,6703778,5.69
